GEOID,STATEFP,STATE,COUNTYFP,COUNTY,TOT_POP22,NHSP_POP22,HSP_POP22,WHT_NHSP22,BLK_NHSP22,AIA_NHSP22,ASN_NHSP22,HPI_NHSP22,OTH_NHSP22
450070007012,45, South Carolina,7, Anderson County,1117,890,227,263,627,0,0,0,0
450070007013,45, South Carolina,7, Anderson County,762,733,29,37,680,0,0,0,0
450070007021,45, South Carolina,7, Anderson County,952,952,0,165,763,0,0,0,0
450070007022,45, South Carolina,7, Anderson County,1300,1050,250,660,381,0,0,0,0
450070008001,45, South Carolina,7, Anderson County,1128,1118,10,936,128,20,0,0,0
450070008002,45, South Carolina,7, Anderson County,760,636,124,333,273,15,0,0,0
450070008003,45, South Carolina,7, Anderson County,1103,942,161,245,697,0,0,0,0
450070009001,45, South Carolina,7, Anderson County,1151,1062,89,662,218,0,16,9,0
450070009002,45, South Carolina,7, Anderson County,1065,1065,0,727,303,0,0,0,0
450070009003,45, South Carolina,7, Anderson County,819,782,37,133,573,0,0,0,0
450070010001,45, South Carolina,7, Anderson County,1449,1356,93,1044,166,0,65,0,0
450070010002,45, South Carolina,7, Anderson County,1133,1104,29,924,138,0,0,0,0
450070011001,45, South Carolina,7, Anderson County,1631,1631,0,1229,286,0,63,0,0
450070011002,45, South Carolina,7, Anderson County,1308,1295,13,1039,28,55,11,0,0
450070011003,45, South Carolina,7, Anderson County,1456,1456,0,1288,19,0,101,0,0
450070011004,45, South Carolina,7, Anderson County,1003,944,59,944,0,0,0,0,0
450070101031,45, South Carolina,7, Anderson County,3076,2989,87,2338,261,0,17,0,0
450070101032,45, South Carolina,7, Anderson County,593,454,139,454,0,0,0,0,0
450070101033,45, South Carolina,7, Anderson County,3852,3509,343,2673,783,11,0,0,42
450070101034,45, South Carolina,7, Anderson County,2409,2384,25,2155,114,47,0,0,0
450070101051,45, South Carolina,7, Anderson County,2443,2415,28,1779,277,0,239,0,0
450070101061,45, South Carolina,7, Anderson County,1689,1689,0,1689,0,0,0,0,0
450070101062,45, South Carolina,7, Anderson County,3171,2630,541,2499,77,0,9,0,45
450070101063,45, South Carolina,7, Anderson County,1306,1306,0,1168,73,11,0,0,0
450070101071,45, South Carolina,7, Anderson County,1537,1356,181,1185,56,6,0,0,0
450070101072,45, South Carolina,7, Anderson County,2182,2182,0,2013,157,11,0,0,0
450070101081,45, South Carolina,7, Anderson County,3464,3359,105,3073,185,0,14,0,0
450070101082,45, South Carolina,7, Anderson County,2132,2114,18,2074,0,0,0,0,22
450070102001,45, South Carolina,7, Anderson County,2427,2305,122,1937,153,0,119,0,0
450070102002,45, South Carolina,7, Anderson County,1309,1309,0,1233,16,1,25,0,0
450070102003,45, South Carolina,7, Anderson County,2040,1972,68,1405,388,0,52,0,0
450070103001,45, South Carolina,7, Anderson County,1259,1087,172,1053,14,0,0,0,0
450070103002,45, South Carolina,7, Anderson County,1008,585,423,585,0,0,0,0,0
450070103003,45, South Carolina,7, Anderson County,1091,1048,43,989,35,0,0,0,15
450070103004,45, South Carolina,7, Anderson County,841,807,34,782,5,0,0,0,0
450070104031,45, South Carolina,7, Anderson County,729,631,98,576,17,0,0,0,20
450070104032,45, South Carolina,7, Anderson County,1391,1336,55,1310,0,0,0,0,0
450070104033,45, South Carolina,7, Anderson County,524,524,0,330,194,0,0,0,0
450070104041,45, South Carolina,7, Anderson County,1190,1188,2,1128,17,1,0,0,0
450070104042,45, South Carolina,7, Anderson County,1773,1773,0,1457,235,4,0,0,0
450070104051,45, South Carolina,7, Anderson County,2271,2027,244,1854,173,0,0,0,0
450070104052,45, South Carolina,7, Anderson County,1976,1613,363,1335,267,0,0,0,0
450070104061,45, South Carolina,7, Anderson County,1076,1045,31,1031,14,0,0,0,0
450070104062,45, South Carolina,7, Anderson County,1406,1406,0,1352,0,0,0,0,0
450070105011,45, South Carolina,7, Anderson County,937,920,17,875,5,0,0,0,0
450070105012,45, South Carolina,7, Anderson County,3375,3275,100,3009,157,0,89,0,0
450070105021,45, South Carolina,7, Anderson County,2194,2034,160,1900,131,0,0,0,0
450070105022,45, South Carolina,7, Anderson County,1460,1443,17,1323,0,0,0,0,16
450070106011,45, South Carolina,7, Anderson County,1609,1597,12,1509,10,0,0,0,0
450070106012,45, South Carolina,7, Anderson County,1367,1367,0,1175,188,0,0,0,0
450070106013,45, South Carolina,7, Anderson County,902,902,0,676,226,0,0,0,0
450070106021,45, South Carolina,7, Anderson County,1025,1025,0,955,50,0,0,0,0
450070106022,45, South Carolina,7, Anderson County,1393,1188,205,983,0,15,78,0,0
450070106023,45, South Carolina,7, Anderson County,1548,1500,48,1439,0,0,19,0,0
450070107011,45, South Carolina,7, Anderson County,1134,1134,0,992,116,0,15,0,0
450070107012,45, South Carolina,7, Anderson County,1282,1282,0,988,36,0,32,21,6
450070107021,45, South Carolina,7, Anderson County,556,556,0,186,309,0,0,0,0
450070107022,45, South Carolina,7, Anderson County,1896,1896,0,1529,359,0,0,0,0
450070107023,45, South Carolina,7, Anderson County,2215,2215,0,1671,541,0,0,0,0
450070108001,45, South Carolina,7, Anderson County,1610,1610,0,1544,34,0,32,0,0
450070108002,45, South Carolina,7, Anderson County,2449,2449,0,2011,346,0,0,0,0
450070108003,45, South Carolina,7, Anderson County,854,854,0,829,0,0,0,0,0
450070109001,45, South Carolina,7, Anderson County,1373,1372,1,1345,0,0,0,0,0
450070109002,45, South Carolina,7, Anderson County,1019,1019,0,955,52,0,12,0,0
450070109003,45, South Carolina,7, Anderson County,1027,1027,0,997,0,0,20,0,0
450070109004,45, South Carolina,7, Anderson County,670,670,0,656,0,0,0,0,0
450070110011,45, South Carolina,7, Anderson County,2262,2262,0,2245,17,0,0,0,0
450070110012,45, South Carolina,7, Anderson County,773,773,0,761,12,0,0,0,0
450070110013,45, South Carolina,7, Anderson County,1919,1919,0,1568,130,12,0,0,0
450070110021,45, South Carolina,7, Anderson County,2219,2084,135,1521,273,0,113,0,0
450070110022,45, South Carolina,7, Anderson County,814,814,0,792,22,0,0,0,0
450070110023,45, South Carolina,7, Anderson County,1584,1567,17,1436,92,0,10,0,0
450070111001,45, South Carolina,7, Anderson County,1106,1102,4,674,288,0,67,0,53
450070111002,45, South Carolina,7, Anderson County,1600,1600,0,1307,234,0,30,0,0
450070112011,45, South Carolina,7, Anderson County,1985,1703,282,1572,28,0,34,0,0
450070112012,45, South Carolina,7, Anderson County,2718,2668,50,2436,138,0,49,0,16
450070112031,45, South Carolina,7, Anderson County,1953,1886,67,1605,176,0,77,0,0
450070112032,45, South Carolina,7, Anderson County,2474,2474,0,2244,72,0,43,0,0
450070112041,45, South Carolina,7, Anderson County,2334,2334,0,1996,274,0,10,0,0
450070112042,45, South Carolina,7, Anderson County,2927,2537,390,2290,149,0,0,0,0
450070113011,45, South Carolina,7, Anderson County,1526,1381,145,962,419,0,0,0,0
450070113012,45, South Carolina,7, Anderson County,1988,1953,35,1812,53,0,76,0,0
450070113021,45, South Carolina,7, Anderson County,1076,1075,1,795,280,0,0,0,0
450070113022,45, South Carolina,7, Anderson County,1552,1526,26,919,572,0,0,0,0
450070113023,45, South Carolina,7, Anderson County,1148,1148,0,1139,0,0,0,0,0
450070114011,45, South Carolina,7, Anderson County,998,998,0,686,163,0,0,0,0
450070114012,45, South Carolina,7, Anderson County,837,771,66,655,43,0,8,0,0
450070114013,45, South Carolina,7, Anderson County,865,865,0,660,205,0,0,0,0
450070114014,45, South Carolina,7, Anderson County,1607,1607,0,1439,107,0,8,0,18
450070114021,45, South Carolina,7, Anderson County,1433,1350,83,590,613,3,0,0,16
450070114022,45, South Carolina,7, Anderson County,469,468,1,428,39,1,0,0,0
450070114023,45, South Carolina,7, Anderson County,1102,1077,25,967,66,0,0,0,0
450070115011,45, South Carolina,7, Anderson County,923,922,1,922,0,0,0,0,0
450070115012,45, South Carolina,7, Anderson County,515,515,0,501,0,0,14,0,0
450070115013,45, South Carolina,7, Anderson County,999,999,0,999,0,0,0,0,0
450070115014,45, South Carolina,7, Anderson County,543,531,12,467,64,0,0,0,0
450070115021,45, South Carolina,7, Anderson County,1062,1062,0,586,317,0,0,0,0
450070115022,45, South Carolina,7, Anderson County,578,578,0,542,18,0,0,0,0
450070115023,45, South Carolina,7, Anderson County,1199,1199,0,1157,41,0,0,0,0
450070116001,45, South Carolina,7, Anderson County,867,858,9,799,26,0,0,0,0
450070116002,45, South Carolina,7, Anderson County,1192,1179,13,1013,136,0,0,0,0
450070117011,45, South Carolina,7, Anderson County,1177,1177,0,1134,28,8,0,0,0
450070117012,45, South Carolina,7, Anderson County,1357,1357,0,1252,98,0,0,0,0
450070117021,45, South Carolina,7, Anderson County,1728,1711,17,1341,364,0,0,0,0
450070117022,45, South Carolina,7, Anderson County,469,469,0,460,0,0,0,0,0
450070117023,45, South Carolina,7, Anderson County,649,617,32,566,43,0,0,0,0
450070117024,45, South Carolina,7, Anderson County,892,879,13,837,9,0,0,0,0
450070118001,45, South Carolina,7, Anderson County,1334,1334,0,1207,102,0,0,0,0
450070118002,45, South Carolina,7, Anderson County,917,917,0,878,12,0,0,0,0
450070118003,45, South Carolina,7, Anderson County,1525,1525,0,1234,168,0,0,0,0
450070119011,45, South Carolina,7, Anderson County,2254,2113,141,1064,1048,0,0,0,0
450070119012,45, South Carolina,7, Anderson County,923,875,48,101,756,0,0,0,18
450070119013,45, South Carolina,7, Anderson County,1311,1127,184,885,101,0,0,0,0
450070119014,45, South Carolina,7, Anderson County,691,629,62,308,305,0,3,0,0
450070119015,45, South Carolina,7, Anderson County,1104,1029,75,1016,13,0,0,0,0
450070119021,45, South Carolina,7, Anderson County,1186,1153,33,319,757,0,0,0,0
450070119022,45, South Carolina,7, Anderson County,1464,1428,36,512,826,0,0,0,19
450070120011,45, South Carolina,7, Anderson County,2263,2246,17,1876,317,0,0,0,0
450070120012,45, South Carolina,7, Anderson County,2813,2612,201,1981,631,0,0,0,0
450070120021,45, South Carolina,7, Anderson County,2817,2689,128,2147,525,0,0,0,0
450070120022,45, South Carolina,7, Anderson County,1514,1334,180,731,436,2,0,0,18
450070120023,45, South Carolina,7, Anderson County,1051,1051,0,727,302,0,8,0,0
450070122001,45, South Carolina,7, Anderson County,983,975,8,867,97,0,0,0,0
450070122002,45, South Carolina,7, Anderson County,1743,1250,493,1055,17,0,0,0,0
450070122003,45, South Carolina,7, Anderson County,1588,1588,0,1229,163,0,0,0,0
450070122004,45, South Carolina,7, Anderson County,1697,1558,139,1361,133,0,0,0,0
450070123001,45, South Carolina,7, Anderson County,1052,999,53,410,577,0,0,0,12
450070123002,45, South Carolina,7, Anderson County,2369,2369,0,938,1391,4,0,0,0
450230201001,45, South Carolina,23, Chester County,721,705,16,473,224,0,0,0,0
450230201002,45, South Carolina,23, Chester County,1242,1242,0,263,961,3,0,0,0
450230202001,45, South Carolina,23, Chester County,1024,875,149,447,428,0,0,0,0
450230202002,45, South Carolina,23, Chester County,704,704,0,102,602,0,0,0,0
450230202003,45, South Carolina,23, Chester County,449,443,6,91,298,0,43,0,0
450230202004,45, South Carolina,23, Chester County,1022,1000,22,579,421,0,0,0,0
450230203001,45, South Carolina,23, Chester County,1356,1356,0,94,1251,0,0,0,0
450230203002,45, South Carolina,23, Chester County,439,439,0,44,391,0,0,0,0
450230203003,45, South Carolina,23, Chester County,580,580,0,10,570,0,0,0,0
450230203004,45, South Carolina,23, Chester County,985,957,28,824,133,0,0,0,0
450230204001,45, South Carolina,23, Chester County,1560,1521,39,1353,131,21,0,0,0
450230204002,45, South Carolina,23, Chester County,1612,1584,28,539,1022,0,0,0,0
450230205001,45, South Carolina,23, Chester County,508,508,0,341,157,0,0,0,0
450230205002,45, South Carolina,23, Chester County,1212,1212,0,1047,89,0,0,0,73
450230205003,45, South Carolina,23, Chester County,894,866,28,640,209,0,0,0,0
450230206011,45, South Carolina,23, Chester County,1227,1227,0,627,540,0,60,0,0
450230206012,45, South Carolina,23, Chester County,631,631,0,592,39,0,0,0,0
450230206013,45, South Carolina,23, Chester County,493,493,0,394,75,0,0,0,0
450230206021,45, South Carolina,23, Chester County,2020,2020,0,1240,662,0,0,0,13
450230206022,45, South Carolina,23, Chester County,2009,1765,244,1394,317,46,0,0,0
450230207001,45, South Carolina,23, Chester County,888,818,70,778,21,0,19,0,0
450230207002,45, South Carolina,23, Chester County,1161,1143,18,583,474,0,6,0,0
450230208001,45, South Carolina,23, Chester County,1358,1358,0,1106,242,0,0,0,0
450230208002,45, South Carolina,23, Chester County,1222,1222,0,1100,119,0,0,0,0
450230208003,45, South Carolina,23, Chester County,2824,2787,37,1679,970,0,0,0,0
450230209001,45, South Carolina,23, Chester County,896,896,0,541,287,0,0,0,0
450230209002,45, South Carolina,23, Chester County,1182,1173,9,851,140,29,19,0,0
450230210001,45, South Carolina,23, Chester County,1033,1033,0,384,589,0,0,0,6
450230210002,45, South Carolina,23, Chester County,627,563,64,356,192,0,0,0,0
450230210003,45, South Carolina,23, Chester County,292,292,0,219,50,0,0,0,16
