GEOID,STATEFP,STATE,COUNTYFP,COUNTY,MEDN_INC22,TOT_HOUS22,0_35K,35K_60K,60K-100K,100K_125K,125K_150K,150K_MORE
450190022002,45, South Carolina,19, Charleston County,96250.0,522,151,35,83,22,24,207
450190023001,45, South Carolina,19, Charleston County,37614.0,300,133,90,29,9,0,39
450190023002,45, South Carolina,19, Charleston County,65375.0,449,145,65,95,33,30,81
450190024011,45, South Carolina,19, Charleston County,52318.0,532,140,153,64,48,35,92
450190024021,45, South Carolina,19, Charleston County,43750.0,367,162,61,36,73,0,35
450190024022,45, South Carolina,19, Charleston County,,294,167,21,52,3,26,25
450190024023,45, South Carolina,19, Charleston County,47917.0,408,185,70,74,44,26,9
450190025031,45, South Carolina,19, Charleston County,91711.0,390,65,23,152,8,29,113
450190025032,45, South Carolina,19, Charleston County,37350.0,601,277,103,66,33,76,46
450190025041,45, South Carolina,19, Charleston County,44054.0,289,101,70,70,22,14,12
450190025042,45, South Carolina,19, Charleston County,69500.0,650,157,75,289,47,4,78
450190025043,45, South Carolina,19, Charleston County,57375.0,226,33,81,46,17,0,49
450190025044,45, South Carolina,19, Charleston County,113938.0,659,111,51,156,60,58,223
450190026041,45, South Carolina,19, Charleston County,77446.0,433,88,67,66,57,99,56
450190026042,45, South Carolina,19, Charleston County,72500.0,872,120,208,331,93,42,78
450190026043,45, South Carolina,19, Charleston County,151842.0,312,27,28,46,18,9,184
450190026051,45, South Carolina,19, Charleston County,75238.0,950,174,199,204,176,44,153
450190026052,45, South Carolina,19, Charleston County,45469.0,710,236,209,76,32,103,54
450190026061,45, South Carolina,19, Charleston County,101364.0,324,54,21,81,64,32,72
450190026062,45, South Carolina,19, Charleston County,111929.0,644,56,75,97,139,31,246
450190026111,45, South Carolina,19, Charleston County,78750.0,664,135,119,145,65,119,81
450190026112,45, South Carolina,19, Charleston County,68636.0,844,102,249,309,69,91,24
450190026121,45, South Carolina,19, Charleston County,51071.0,778,233,184,172,29,31,129
450190026122,45, South Carolina,19, Charleston County,68947.0,474,77,85,312,0,0,0
450190026123,45, South Carolina,19, Charleston County,73033.0,514,182,0,276,19,0,37
450190026124,45, South Carolina,19, Charleston County,135673.0,509,96,119,18,9,93,174
450190026125,45, South Carolina,19, Charleston County,51892.0,910,274,272,211,76,0,77
450190026131,45, South Carolina,19, Charleston County,121205.0,430,85,61,42,56,43,143
450190026132,45, South Carolina,19, Charleston County,54900.0,1211,242,419,295,152,36,67
450190026133,45, South Carolina,19, Charleston County,,762,241,53,110,0,358,0
450190026134,45, South Carolina,19, Charleston County,108143.0,644,56,44,181,128,98,137
450190026141,45, South Carolina,19, Charleston County,75607.0,995,148,214,287,75,102,169
450190026142,45, South Carolina,19, Charleston County,53688.0,584,172,160,83,91,26,52
450190027011,45, South Carolina,19, Charleston County,60893.0,491,198,40,175,51,0,27
450190027012,45, South Carolina,19, Charleston County,88714.0,1010,205,101,242,187,44,231
450190027021,45, South Carolina,19, Charleston County,37620.0,735,364,286,27,27,6,25
450190027022,45, South Carolina,19, Charleston County,115406.0,374,0,23,117,155,0,79
450190027023,45, South Carolina,19, Charleston County,54962.0,363,149,33,122,59,0,0
450190027024,45, South Carolina,19, Charleston County,,544,248,46,102,41,9,98
450190028011,45, South Carolina,19, Charleston County,,1049,82,393,72,73,158,271
450190028012,45, South Carolina,19, Charleston County,79176.0,391,38,14,205,49,19,66
450190028013,45, South Carolina,19, Charleston County,92102.0,786,124,148,190,43,9,272
450190028021,45, South Carolina,19, Charleston County,111500.0,570,56,53,164,46,41,210
450190028022,45, South Carolina,19, Charleston County,115078.0,518,45,117,51,77,64,164
450190029001,45, South Carolina,19, Charleston County,74552.0,758,198,94,183,53,63,167
